year;kt;canton;population;variation_absolue;variation_pourcent
1991;13;Bale-Campagne; 232 333; 1 030;0,4
1991;14;Schaffhouse; 72 457;780;1,1
1991;15;Appenzell Rh.-Ext.; 52 437;884;1,7
1991;16;Appenzell Rh.-Int.; 14 251;143;1
1991;17;Saint-Gall; 427 648; 6 472;1,5
1991;18;Grisons; 176 188; 2 665;1,5
1991;19;Argovie; 506 818; 8 783;1,8
1991;20;Thurgovie; 210 542; 4 222;2
1991;21;Tessin; 290 000; 3 256;1,1
1991;22;Vaud; 587 283; 9 759;1,7
1991;23;Valais; 257 730; 5 768;2,3
1991;24;Neuchatel; 161 774; 2 052;1,3
1991;25;Geneve; 381 404; 2 749;0,7
1991;26;Jura; 67 528;739;1,1
